MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        30.00,        30.00,        30.65,        28.65,        30.30,                  9294600.00,309000, ,        81.50,        28.65
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        18.20,        18.05,        18.15,        18.05,        18.15,                    43440.00,2400, ,        34.30,        15.60
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       214.30,       215.85,       217.50,       207.95,       210.40,                  8952280.00,42400, ,       259.00,       134.40
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        52.60,        55.95,        55.95,        52.25,        53.20,                  1944450.00,36000, ,        71.00,        36.10
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       105.80,       105.80,       105.80,       105.60,       105.60,                   317200.00,3000, ,       199.25,       105.00
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        95.65,        95.00,        95.00,        90.00,        91.10,                 10947680.00,118400, ,       113.90,        80.50
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        55.60,        55.55,        55.55,        55.00,        55.00,                   552100.00,10000, ,        62.80,        41.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,       155.00,       156.55,       157.00,       153.30,       156.75,                   933112.50,6000, ,       178.80,       103.70
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        95.75,        91.00,        93.00,        91.00,        93.00,                   220000.00,2400, ,       144.40,        64.00
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       204.60,       203.35,       205.80,       200.10,       200.45,                 12862320.00,64000, ,       229.00,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        23.55,        24.70,        24.70,        24.70,        24.70,                    82325.10,3333, ,        60.00,        20.85
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        94.10,        94.00,        94.00,        90.00,        90.80,                 20919625.00,227500, ,       931.00,        75.00
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        52.25,        54.50,        54.55,        52.00,        52.40,                   528850.00,10000, ,       135.40,        42.00
N,SM,CUDML,CASH UR DRIVE MARKETING L,       152.05,       152.05,       152.05,       143.80,       144.90,                 21510350.00,145000, ,       165.00,       130.00
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       148.25,       147.00,       147.00,       138.25,       139.40,                 30052000.00,206400, ,       163.00,       123.05
N,SM,DANISH,DANISH POWER LIMITED,       842.50,       846.70,       846.70,       800.00,       816.10,                 30239220.00,36900, ,      1316.00,       541.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        53.25,        53.10,        53.20,        51.00,        53.20,                  1044200.00,20000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        68.50,        68.50,        68.95,        66.95,        68.90,                  1150560.00,16800, ,       150.00,        57.15
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        33.10,        33.00,        33.00,        32.40,        32.40,                  1181520.00,36000, ,        93.40,        28.80
N,SM,DELAPLEX,DELAPLEX LIMITED,       152.05,       162.95,       171.60,       162.00,       166.90,                 11474490.00,68400, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        65.00,        65.00,        65.00,        62.50,        63.00,                  2939400.00,46000, ,       183.75,        62.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       165.35,       164.50,       168.00,       160.00,       165.15,                 11121510.00,67800, ,       374.80,       160.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       619.60,       620.00,       620.00,       605.20,       612.05,                 11496612.50,18750, ,       840.00,       533.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,       120.55,       126.00,       126.00,       125.00,       125.00,                   754425.00,6000, ,       181.00,        67.80
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        42.50,        41.65,        41.65,        40.40,        40.40,                   903100.00,22000, ,       110.00,        40.40
N,SM,DHARIWAL,DHARIWALCORP LIMITED,       202.55,       196.70,       199.95,       193.20,       197.00,                 27058140.00,136800, ,       229.00,        90.50
N,SM,DHTL,DOCMODE HEALTH TECH LTD,        71.55,        75.05,        75.05,        75.05,        75.05,                   420280.00,5600, ,       118.00,        36.90
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,       160.25,       159.00,       159.00,       155.35,       158.95,                   315370.00,2000, ,       424.85,       139.00
N,SM,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,        92.75,        92.00,        97.35,        92.00,        97.35,                  8919440.00,92800, ,        97.35,        43.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        69.50,        79.00,        79.00,        74.40,        74.40,                   343875.00,4500, ,       103.80,        56.50
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        43.45,        41.50,        42.90,        41.30,        42.55,                  1501800.00,36000, ,        49.00,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        66.55,        66.55,        71.55,        66.55,        69.25,                  2488625.00,36000, ,       268.00,        64.55
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       164.35,       162.70,       165.50,       153.00,       162.30,                  5668120.00,35200, ,       169.60,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        37.65,        37.50,        38.40,        36.50,        38.35,                  1034875.00,27500, ,        76.95,        36.50
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        40.95,        40.90,        40.95,        39.05,        39.95,                   481500.00,12000, ,        68.00,        33.10
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       137.25,       130.60,       140.70,       130.40,       132.05,                  4969050.00,37500, ,       404.35,       107.30
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       201.20,       202.00,       202.00,       195.00,       195.70,                  7470700.00,38000, ,       267.90,       186.00
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       269.90,       261.10,       270.00,       261.10,       265.00,                  1704800.00,6400, ,       328.80,       127.50
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       218.90,       218.20,       227.80,       218.20,       224.25,                  1442100.00,6400, ,       287.90,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        40.25,        42.00,        42.00,        39.00,        39.00,                   425280.00,10800, ,        72.90,        29.20
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       140.00,       138.00,       139.50,       127.00,       135.65,                 10304000.00,77000, ,       163.50,        95.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        96.30,        96.30,        97.95,        96.30,        97.80,                   584300.00,6000, ,       158.80,        87.05
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       144.25,       144.00,       150.00,       143.00,       145.65,                   326955.00,2250, ,       521.85,       140.00
N,SM,EMMIL,ENERGY MISSION MACH IND L,       180.50,       182.50,       182.50,       170.00,       179.00,                  1179775.00,6750, ,       488.55,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       204.90,       201.00,       201.00,       195.00,       196.00,                   592860.00,3000, ,       284.00,       142.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        21.00,        21.50,        22.05,        20.60,        21.60,                   860250.00,40000, ,       321.00,        13.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       150.90,       150.00,       151.00,       147.00,       147.60,                  6423700.00,43000, ,       173.00,        89.05
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       264.90,       273.00,       274.00,       251.65,       252.60,                 35261300.00,138400, ,       502.95,       150.15
