Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY FMCG,JUBLFOOD,593.05,596.05,3.00,89.59,93.99,0.56,0.54,-4.41,0.03,-1.28,0
NIFTY FMCG,MARICO,731.35,736.90,5.55,98.78,96.96,0.77,0.35,1.82,0.42,1.57,0
NIFTY FMCG,NESTLEIND,1263.20,1270.10,6.90,98.68,94.38,0.73,0.44,4.30,0.29,-0.61,0
NIFTY FMCG,PATANJALI,569.35,572.35,3.00,97.82,95.90,0.74,0.60,1.91,0.14,-4.09,0
NIFTY FMCG,TATACONSUM,1177.70,1183.60,5.90,97.88,96.76,0.65,0.55,1.13,0.11,0.75,0
NIFTY FMCG,TRENT,4243.90,4266.30,22.40,88.17,92.98,0.74,0.50,-4.82,0.24,-10.19,0
NIFTY FMCG,UNITDSPR,1430.40,1437.60,7.20,93.45,94.71,0.64,0.55,-1.26,0.09,5.81,0
NIFTY FMCG,VBL,449.05,451.15,2.10,84.65,91.85,0.60,0.55,-7.20,0.05,-1.12,0
NIFTY Financial Services,360ONE,1120.00,1124.70,4.70,80.86,73.15,0.28,0.38,7.71,-0.10,-4.42,0
NIFTY Financial Services,ABCAPITAL,345.45,347.10,1.65,98.36,95.29,0.59,0.56,3.07,0.03,10.51,0
NIFTY Financial Services,ANGELONE,2687.70,2670.30,-17.40,79.79,82.72,-0.81,0.24,-2.93,-1.05,5.90,0
NIFTY Financial Services,BAJAJFINSV,2030.20,2040.90,10.70,97.34,94.52,0.66,0.56,2.82,0.09,-5.14,0
NIFTY Financial Services,BAJFINANCE,986.20,993.20,7.00,98.44,96.89,0.55,0.55,1.55,-0.00,-8.07,0
NIFTY Financial Services,BSE,2840.60,2857.30,16.70,79.81,84.34,0.64,0.61,-4.53,0.03,17.39,0
NIFTY Financial Services,CDSL,1574.10,1582.90,8.80,95.28,91.98,0.65,0.17,3.30,0.48,-3.60,0
NIFTY Financial Services,CHOLAFIN,1685.40,1688.70,3.30,94.20,94.96,0.20,-0.55,-0.76,0.75,-2.19,0
NIFTY Financial Services,HDFCAMC,5336.50,5374.00,37.50,83.79,90.66,0.67,0.46,-6.88,0.21,-5.49,0
NIFTY Financial Services,HDFCLIFE,766.55,770.90,4.35,89.65,92.18,0.48,0.54,-2.53,-0.06,2.62,0
NIFTY Financial Services,ICICIGI,1999.00,2006.90,7.90,97.31,94.30,0.49,0.37,3.01,0.12,-0.99,0
NIFTY Financial Services,ICICIPRULI,612.25,615.85,3.60,98.11,94.04,0.66,0.54,4.08,0.12,1.96,0
NIFTY Financial Services,IEX,140.24,140.97,0.73,89.98,84.85,0.77,0.62,5.13,0.15,-4.93,0
NIFTY Financial Services,IIFL,557.40,560.00,2.60,94.03,94.38,0.73,0.52,-0.36,0.20,8.49,0
NIFTY Financial Services,JIOFIN,300.80,302.50,1.70,96.38,94.46,0.68,0.58,1.91,0.10,-2.32,0
NIFTY Financial Services,KFINTECH,1050.40,1057.10,6.70,91.78,94.45,0.58,-0.01,-2.67,0.59,-10.59,0
NIFTY Financial Services,LICHSGFIN,548.10,551.10,3.00,87.38,92.79,0.77,0.41,-5.41,0.35,-6.45,0
NIFTY Financial Services,LICI,897.65,901.15,3.50,93.37,82.44,0.67,0.10,10.93,0.57,-0.25,0
NIFTY Financial Services,LTF,296.90,299.00,2.10,78.49,89.66,0.57,0.36,-11.16,0.21,10.64,0
NIFTY Financial Services,MANAPPURAM,279.05,281.10,2.05,96.60,88.93,0.73,0.57,7.67,0.17,0.98,0
NIFTY Financial Services,MCX,9867.00,9916.00,49.00,90.81,88.49,0.67,0.53,2.32,0.14,8.23,0
